year,season,area_group,length,observations
1991,B season,NMFS_AREA < 520,62,539
1991,B season,NMFS_AREA < 520,63,351
1991,B season,NMFS_AREA < 520,64,258
1991,B season,NMFS_AREA < 520,65,509
1991,B season,NMFS_AREA > 519,20,230
1991,B season,NMFS_AREA > 519,21,298
1991,B season,NMFS_AREA > 519,22,363
1991,B season,NMFS_AREA > 519,23,438
1991,B season,NMFS_AREA > 519,24,536
1991,B season,NMFS_AREA > 519,25,693
1991,B season,NMFS_AREA > 519,26,793
1991,B season,NMFS_AREA > 519,27,789
1991,B season,NMFS_AREA > 519,28,795
1991,B season,NMFS_AREA > 519,29,775
1991,B season,NMFS_AREA > 519,30,690
1991,B season,NMFS_AREA > 519,31,657
1991,B season,NMFS_AREA > 519,32,677
1991,B season,NMFS_AREA > 519,33,754
1991,B season,NMFS_AREA > 519,34,848
1991,B season,NMFS_AREA > 519,35,973
1991,B season,NMFS_AREA > 519,36,1182
1991,B season,NMFS_AREA > 519,37,1404
1991,B season,NMFS_AREA > 519,38,1741
1991,B season,NMFS_AREA > 519,39,2142
1991,B season,NMFS_AREA > 519,40,2478
1991,B season,NMFS_AREA > 519,41,2857
1991,B season,NMFS_AREA > 519,42,3269
1991,B season,NMFS_AREA > 519,43,3447
1991,B season,NMFS_AREA > 519,44,3602
1991,B season,NMFS_AREA > 519,45,3756
1991,B season,NMFS_AREA > 519,46,3802
1991,B season,NMFS_AREA > 519,47,3806
1991,B season,NMFS_AREA > 519,48,3759
1991,B season,NMFS_AREA > 519,49,3709
1991,B season,NMFS_AREA > 519,50,3517
1991,B season,NMFS_AREA > 519,51,3272
1991,B season,NMFS_AREA > 519,52,2988
1991,B season,NMFS_AREA > 519,53,2540
1991,B season,NMFS_AREA > 519,54,2046
1991,B season,NMFS_AREA > 519,55,1733
1991,B season,NMFS_AREA > 519,56,1365
1991,B season,NMFS_AREA > 519,57,1021
1991,B season,NMFS_AREA > 519,58,792
1991,B season,NMFS_AREA > 519,59,582
1991,B season,NMFS_AREA > 519,60,450
1991,B season,NMFS_AREA > 519,61,302
1991,B season,NMFS_AREA > 519,62,238
1991,B season,NMFS_AREA > 519,63,177
1991,B season,NMFS_AREA > 519,64,128
1991,B season,NMFS_AREA > 519,65,446
1992,A season,NMFS_AREA < 520,20,8
1992,A season,NMFS_AREA < 520,21,12
1992,A season,NMFS_AREA < 520,22,34
1992,A season,NMFS_AREA < 520,23,100
1992,A season,NMFS_AREA < 520,24,242
1992,A season,NMFS_AREA < 520,25,372
1992,A season,NMFS_AREA < 520,26,493
1992,A season,NMFS_AREA < 520,27,503
1992,A season,NMFS_AREA < 520,28,459
1992,A season,NMFS_AREA < 520,29,471
1992,A season,NMFS_AREA < 520,30,452
1992,A season,NMFS_AREA < 520,31,684
1992,A season,NMFS_AREA < 520,32,983
1992,A season,NMFS_AREA < 520,33,1230
1992,A season,NMFS_AREA < 520,34,1390
1992,A season,NMFS_AREA < 520,35,1433
1992,A season,NMFS_AREA < 520,36,1317
1992,A season,NMFS_AREA < 520,37,1186
1992,A season,NMFS_AREA < 520,38,984
1992,A season,NMFS_AREA < 520,39,911
1992,A season,NMFS_AREA < 520,40,991
1992,A season,NMFS_AREA < 520,41,1402
1992,A season,NMFS_AREA < 520,42,1810
1992,A season,NMFS_AREA < 520,43,2294
1992,A season,NMFS_AREA < 520,44,2803
1992,A season,NMFS_AREA < 520,45,3227
1992,A season,NMFS_AREA < 520,46,3596
1992,A season,NMFS_AREA < 520,47,3946
1992,A season,NMFS_AREA < 520,48,4127
1992,A season,NMFS_AREA < 520,49,4268
1992,A season,NMFS_AREA < 520,50,4408
1992,A season,NMFS_AREA < 520,51,4344
1992,A season,NMFS_AREA < 520,52,4288
1992,A season,NMFS_AREA < 520,53,4216
1992,A season,NMFS_AREA < 520,54,3992
1992,A season,NMFS_AREA < 520,55,3698
1992,A season,NMFS_AREA < 520,56,3287
1992,A season,NMFS_AREA < 520,57,2826
1992,A season,NMFS_AREA < 520,58,2318
1992,A season,NMFS_AREA < 520,59,1992
1992,A season,NMFS_AREA < 520,60,1569
1992,A season,NMFS_AREA < 520,61,1240
1992,A season,NMFS_AREA < 520,62,950
1992,A season,NMFS_AREA < 520,63,773
1992,A season,NMFS_AREA < 520,64,603
1992,A season,NMFS_AREA < 520,65,2273
1992,A season,NMFS_AREA > 519,20,138
1992,A season,NMFS_AREA > 519,21,189
1992,A season,NMFS_AREA > 519,22,239
1992,A season,NMFS_AREA > 519,23,301
1992,A season,NMFS_AREA > 519,24,349
1992,A season,NMFS_AREA > 519,25,365
1992,A season,NMFS_AREA > 519,26,382
1992,A season,NMFS_AREA > 519,27,394
1992,A season,NMFS_AREA > 519,28,419
1992,A season,NMFS_AREA > 519,29,442
1992,A season,NMFS_AREA > 519,30,492
1992,A season,NMFS_AREA > 519,31,615
1992,A season,NMFS_AREA > 519,32,730
1992,A season,NMFS_AREA > 519,33,852
1992,A season,NMFS_AREA > 519,34,900
1992,A season,NMFS_AREA > 519,35,914
1992,A season,NMFS_AREA > 519,36,895
1992,A season,NMFS_AREA > 519,37,878
1992,A season,NMFS_AREA > 519,38,870
1992,A season,NMFS_AREA > 519,39,873
1992,A season,NMFS_AREA > 519,40,901
1992,A season,NMFS_AREA > 519,41,908
1992,A season,NMFS_AREA > 519,42,937
1992,A season,NMFS_AREA > 519,43,975
1992,A season,NMFS_AREA > 519,44,1055
1992,A season,NMFS_AREA > 519,45,1080
1992,A season,NMFS_AREA > 519,46,1075
1992,A season,NMFS_AREA > 519,47,1109
1992,A season,NMFS_AREA > 519,48,1067
1992,A season,NMFS_AREA > 519,49,1058
1992,A season,NMFS_AREA > 519,50,1030
1992,A season,NMFS_AREA > 519,51,991
1992,A season,NMFS_AREA > 519,52,913
1992,A season,NMFS_AREA > 519,53,869
1992,A season,NMFS_AREA > 519,54,793
1992,A season,NMFS_AREA > 519,55,721
1992,A season,NMFS_AREA > 519,56,657
1992,A season,NMFS_AREA > 519,57,587
1992,A season,NMFS_AREA > 519,58,487
1992,A season,NMFS_AREA > 519,59,440
1992,A season,NMFS_AREA > 519,60,369
1992,A season,NMFS_AREA > 519,61,301
1992,A season,NMFS_AREA > 519,62,280
1992,A season,NMFS_AREA > 519,63,214
1992,A season,NMFS_AREA > 519,64,196
1992,A season,NMFS_AREA > 519,65,958
1992,B season,NMFS_AREA < 520,20,6
1992,B season,NMFS_AREA < 520,21,2
1992,B season,NMFS_AREA < 520,22,5
1992,B season,NMFS_AREA < 520,23,6
1992,B season,NMFS_AREA < 520,24,13
1992,B season,NMFS_AREA < 520,25,23
1992,B season,NMFS_AREA < 520,26,52
1992,B season,NMFS_AREA < 520,27,79
1992,B season,NMFS_AREA < 520,28,115
1992,B season,NMFS_AREA < 520,29,170
1992,B season,NMFS_AREA < 520,30,291
1992,B season,NMFS_AREA < 520,31,493
1992,B season,NMFS_AREA < 520,32,758
1992,B season,NMFS_AREA < 520,33,1115
1992,B season,NMFS_AREA < 520,34,1759
1992,B season,NMFS_AREA < 520,35,2527
1992,B season,NMFS_AREA < 520,36,3102
1992,B season,NMFS_AREA < 520,37,3572
1992,B season,NMFS_AREA < 520,38,3894
1992,B season,NMFS_AREA < 520,39,4062
1992,B season,NMFS_AREA < 520,40,4050
1992,B season,NMFS_AREA < 520,41,3744
1992,B season,NMFS_AREA < 520,42,3226
1992,B season,NMFS_AREA < 520,43,2700
1992,B season,NMFS_AREA < 520,44,2193
1992,B season,NMFS_AREA < 520,45,1878
1992,B season,NMFS_AREA < 520,46,1628
1992,B season,NMFS_AREA < 520,47,1559
1992,B season,NMFS_AREA < 520,48,1509
1992,B season,NMFS_AREA < 520,49,1504
1992,B season,NMFS_AREA < 520,50,1577
1992,B season,NMFS_AREA < 520,51,1653
1992,B season,NMFS_AREA < 520,52,1611
1992,B season,NMFS_AREA < 520,53,1642
1992,B season,NMFS_AREA < 520,54,1583
1992,B season,NMFS_AREA < 520,55,1504
1992,B season,NMFS_AREA < 520,56,1427
1992,B season,NMFS_AREA < 520,57,1284
1992,B season,NMFS_AREA < 520,58,1093
1992,B season,NMFS_AREA < 520,59,913
1992,B season,NMFS_AREA < 520,60,729
1992,B season,NMFS_AREA < 520,61,520
1992,B season,NMFS_AREA < 520,62,405
1992,B season,NMFS_AREA < 520,63,250
1992,B season,NMFS_AREA < 520,64,165
1992,B season,NMFS_AREA < 520,65,216
1992,B season,NMFS_AREA > 519,20,111
1992,B season,NMFS_AREA > 519,21,140
1992,B season,NMFS_AREA > 519,22,179
1992,B season,NMFS_AREA > 519,23,250
1992,B season,NMFS_AREA > 519,24,281
1992,B season,NMFS_AREA > 519,25,410
1992,B season,NMFS_AREA > 519,26,532
1992,B season,NMFS_AREA > 519,27,687
1992,B season,NMFS_AREA > 519,28,849
1992,B season,NMFS_AREA > 519,29,957
1992,B season,NMFS_AREA > 519,30,917
1992,B season,NMFS_AREA > 519,31,923
1992,B season,NMFS_AREA > 519,32,951
1992,B season,NMFS_AREA > 519,33,1154
1992,B season,NMFS_AREA > 519,34,1401
1992,B season,NMFS_AREA > 519,35,1567
1992,B season,NMFS_AREA > 519,36,1671
1992,B season,NMFS_AREA > 519,37,1720
1992,B season,NMFS_AREA > 519,38,1719
1992,B season,NMFS_AREA > 519,39,1628
1992,B season,NMFS_AREA > 519,40,1565
1992,B season,NMFS_AREA > 519,41,1431
1992,B season,NMFS_AREA > 519,42,1422
1992,B season,NMFS_AREA > 519,43,1333
1992,B season,NMFS_AREA > 519,44,1412
1992,B season,NMFS_AREA > 519,45,1433
1992,B season,NMFS_AREA > 519,46,1488
1992,B season,NMFS_AREA > 519,47,1486
1992,B season,NMFS_AREA > 519,48,1479
1992,B season,NMFS_AREA > 519,49,1469
1992,B season,NMFS_AREA > 519,50,1430
1992,B season,NMFS_AREA > 519,51,1402
1992,B season,NMFS_AREA > 519,52,1333
1992,B season,NMFS_AREA > 519,53,1230
1992,B season,NMFS_AREA > 519,54,1119
1992,B season,NMFS_AREA > 519,55,985
1992,B season,NMFS_AREA > 519,56,861
1992,B season,NMFS_AREA > 519,57,726
1992,B season,NMFS_AREA > 519,58,624
1992,B season,NMFS_AREA > 519,59,505
1992,B season,NMFS_AREA > 519,60,373
1992,B season,NMFS_AREA > 519,61,322
1992,B season,NMFS_AREA > 519,62,234
1992,B season,NMFS_AREA > 519,63,174
1992,B season,NMFS_AREA > 519,64,162
1992,B season,NMFS_AREA > 519,65,551
1993,A season,NMFS_AREA < 520,20,1
1993,A season,NMFS_AREA < 520,21,2
1993,A season,NMFS_AREA < 520,22,3
1993,A season,NMFS_AREA < 520,23,5
1993,A season,NMFS_AREA < 520,24,11
1993,A season,NMFS_AREA < 520,25,14
1993,A season,NMFS_AREA < 520,26,27
1993,A season,NMFS_AREA < 520,27,38
1993,A season,NMFS_AREA < 520,28,59
1993,A season,NMFS_AREA < 520,29,53
1993,A season,NMFS_AREA < 520,30,73
1993,A season,NMFS_AREA < 520,31,107
1993,A season,NMFS_AREA < 520,32,222
1993,A season,NMFS_AREA < 520,33,617
1993,A season,NMFS_AREA < 520,34,1096
1993,A season,NMFS_AREA < 520,35,1594
1993,A season,NMFS_AREA < 520,36,1931
1993,A season,NMFS_AREA < 520,37,2395
1993,A season,NMFS_AREA < 520,38,2792
1993,A season,NMFS_AREA < 520,39,3127
1993,A season,NMFS_AREA < 520,40,3356
1993,A season,NMFS_AREA < 520,41,3467
1993,A season,NMFS_AREA < 520,42,3506
1993,A season,NMFS_AREA < 520,43,3430
1993,A season,NMFS_AREA < 520,44,3265
1993,A season,NMFS_AREA < 520,45,3013
1993,A season,NMFS_AREA < 520,46,2652
1993,A season,NMFS_AREA < 520,47,2266
1993,A season,NMFS_AREA < 520,48,2141
1993,A season,NMFS_AREA < 520,49,2100
1993,A season,NMFS_AREA < 520,50,2139
1993,A season,NMFS_AREA < 520,51,2110
1993,A season,NMFS_AREA < 520,52,2060
1993,A season,NMFS_AREA < 520,53,2025
1993,A season,NMFS_AREA < 520,54,1937
1993,A season,NMFS_AREA < 520,55,1785
1993,A season,NMFS_AREA < 520,56,1625
1993,A season,NMFS_AREA < 520,57,1445
1993,A season,NMFS_AREA < 520,58,1267
1993,A season,NMFS_AREA < 520,59,1115
1993,A season,NMFS_AREA < 520,60,955
1993,A season,NMFS_AREA < 520,61,759
1993,A season,NMFS_AREA < 520,62,600
1993,A season,NMFS_AREA < 520,63,510
1993,A season,NMFS_AREA < 520,64,408
1993,A season,NMFS_AREA < 520,65,1631
1993,A season,NMFS_AREA > 519,21,1
1993,A season,NMFS_AREA > 519,22,4
1993,A season,NMFS_AREA > 519,23,4
1993,A season,NMFS_AREA > 519,24,7
1993,A season,NMFS_AREA > 519,25,6
1993,A season,NMFS_AREA > 519,26,21
1993,A season,NMFS_AREA > 519,27,17
1993,A season,NMFS_AREA > 519,28,21
1993,A season,NMFS_AREA > 519,29,19
1993,A season,NMFS_AREA > 519,30,54
1993,A season,NMFS_AREA > 519,31,96
1993,A season,NMFS_AREA > 519,32,146
1993,A season,NMFS_AREA > 519,33,222
1993,A season,NMFS_AREA > 519,34,281
1993,A season,NMFS_AREA > 519,35,356
1993,A season,NMFS_AREA > 519,36,374
1993,A season,NMFS_AREA > 519,37,418
1993,A season,NMFS_AREA > 519,38,441
1993,A season,NMFS_AREA > 519,39,464
1993,A season,NMFS_AREA > 519,40,477
1993,A season,NMFS_AREA > 519,41,464
1993,A season,NMFS_AREA > 519,42,452
1993,A season,NMFS_AREA > 519,43,406
1993,A season,NMFS_AREA > 519,44,408
1993,A season,NMFS_AREA > 519,45,347
1993,A season,NMFS_AREA > 519,46,303
1993,A season,NMFS_AREA > 519,47,315
1993,A season,NMFS_AREA > 519,48,294
1993,A season,NMFS_AREA > 519,49,332
1993,A season,NMFS_AREA > 519,50,328
1993,A season,NMFS_AREA > 519,51,317
1993,A season,NMFS_AREA > 519,52,326
1993,A season,NMFS_AREA > 519,53,323
1993,A season,NMFS_AREA > 519,54,307
1993,A season,NMFS_AREA > 519,55,286
1993,A season,NMFS_AREA > 519,56,244
1993,A season,NMFS_AREA > 519,57,246
1993,A season,NMFS_AREA > 519,58,207
1993,A season,NMFS_AREA > 519,59,205
1993,A season,NMFS_AREA > 519,60,167
1993,A season,NMFS_AREA > 519,61,149
1993,A season,NMFS_AREA > 519,62,129
1993,A season,NMFS_AREA > 519,63,129
1993,A season,NMFS_AREA > 519,64,109
1993,A season,NMFS_AREA > 519,65,551
1993,B season,NMFS_AREA < 520,21,2
1993,B season,NMFS_AREA < 520,22,6
1993,B season,NMFS_AREA < 520,23,11
1993,B season,NMFS_AREA < 520,24,8
1993,B season,NMFS_AREA < 520,25,12
1993,B season,NMFS_AREA < 520,26,12
1993,B season,NMFS_AREA < 520,27,22
1993,B season,NMFS_AREA < 520,28,20
1993,B season,NMFS_AREA < 520,29,26
1993,B season,NMFS_AREA < 520,30,63
1993,B season,NMFS_AREA < 520,31,83
1993,B season,NMFS_AREA < 520,32,96
1993,B season,NMFS_AREA < 520,33,151
1993,B season,NMFS_AREA < 520,34,212
1993,B season,NMFS_AREA < 520,35,299
1993,B season,NMFS_AREA < 520,36,475
1993,B season,NMFS_AREA < 520,37,956
1993,B season,NMFS_AREA < 520,38,2261
1993,B season,NMFS_AREA < 520,39,3718
1993,B season,NMFS_AREA < 520,40,4592
1993,B season,NMFS_AREA < 520,41,4887
1993,B season,NMFS_AREA < 520,42,5005
1993,B season,NMFS_AREA < 520,43,5063
1993,B season,NMFS_AREA < 520,44,5071
1993,B season,NMFS_AREA < 520,45,4993
1993,B season,NMFS_AREA < 520,46,4702
1993,B season,NMFS_AREA < 520,47,4129
1993,B season,NMFS_AREA < 520,48,3174
1993,B season,NMFS_AREA < 520,49,2229
1993,B season,NMFS_AREA < 520,50,1421
1993,B season,NMFS_AREA < 520,51,1120
1993,B season,NMFS_AREA < 520,52,923
1993,B season,NMFS_AREA < 520,53,831
1993,B season,NMFS_AREA < 520,54,873
1993,B season,NMFS_AREA < 520,55,820
1993,B season,NMFS_AREA < 520,56,781
1993,B season,NMFS_AREA < 520,57,680
1993,B season,NMFS_AREA < 520,58,596
1993,B season,NMFS_AREA < 520,59,518
1993,B season,NMFS_AREA < 520,60,416
1993,B season,NMFS_AREA < 520,61,292
1993,B season,NMFS_AREA < 520,62,217
1993,B season,NMFS_AREA < 520,63,155
1993,B season,NMFS_AREA < 520,64,102
1993,B season,NMFS_AREA < 520,65,191
1993,B season,NMFS_AREA > 519,20,11
1993,B season,NMFS_AREA > 519,21,14
1993,B season,NMFS_AREA > 519,22,8
1993,B season,NMFS_AREA > 519,23,7
1993,B season,NMFS_AREA > 519,24,8
1993,B season,NMFS_AREA > 519,25,16
1993,B season,NMFS_AREA > 519,26,24
1993,B season,NMFS_AREA > 519,27,32
1993,B season,NMFS_AREA > 519,28,48
1993,B season,NMFS_AREA > 519,29,51
1993,B season,NMFS_AREA > 519,30,48
1993,B season,NMFS_AREA > 519,31,61
1993,B season,NMFS_AREA > 519,32,70
1993,B season,NMFS_AREA > 519,33,97
1993,B season,NMFS_AREA > 519,34,141
1993,B season,NMFS_AREA > 519,35,208
1993,B season,NMFS_AREA > 519,36,335
1993,B season,NMFS_AREA > 519,37,492
1993,B season,NMFS_AREA > 519,38,700
1993,B season,NMFS_AREA > 519,39,852
1993,B season,NMFS_AREA > 519,40,931
1993,B season,NMFS_AREA > 519,41,958
1993,B season,NMFS_AREA > 519,42,966
1993,B season,NMFS_AREA > 519,43,952
1993,B season,NMFS_AREA > 519,44,936
1993,B season,NMFS_AREA > 519,45,896
1993,B season,NMFS_AREA > 519,46,844
1993,B season,NMFS_AREA > 519,47,736
1993,B season,NMFS_AREA > 519,48,587
1993,B season,NMFS_AREA > 519,49,428
1993,B season,NMFS_AREA > 519,50,315
1993,B season,NMFS_AREA > 519,51,227
1993,B season,NMFS_AREA > 519,52,181
1993,B season,NMFS_AREA > 519,53,166
1993,B season,NMFS_AREA > 519,54,127
1993,B season,NMFS_AREA > 519,55,109
1993,B season,NMFS_AREA > 519,56,98
1993,B season,NMFS_AREA > 519,57,74
1993,B season,NMFS_AREA > 519,58,50
1993,B season,NMFS_AREA > 519,59,39
1993,B season,NMFS_AREA > 519,60,26
1993,B season,NMFS_AREA > 519,61,26
1993,B season,NMFS_AREA > 519,62,15
1993,B season,NMFS_AREA > 519,63,9
1993,B season,NMFS_AREA > 519,64,8
1993,B season,NMFS_AREA > 519,65,8
1994,A season,NMFS_AREA < 520,20,2
1994,A season,NMFS_AREA < 520,21,1
1994,A season,NMFS_AREA < 520,22,5
1994,A season,NMFS_AREA < 520,23,6
1994,A season,NMFS_AREA < 520,24,31
1994,A season,NMFS_AREA < 520,25,69
1994,A season,NMFS_AREA < 520,26,119
1994,A season,NMFS_AREA < 520,27,162
1994,A season,NMFS_AREA < 520,28,235
1994,A season,NMFS_AREA < 520,29,219
1994,A season,NMFS_AREA < 520,30,196
1994,A season,NMFS_AREA < 520,31,144
1994,A season,NMFS_AREA < 520,32,95
1994,A season,NMFS_AREA < 520,33,76
1994,A season,NMFS_AREA < 520,34,108
1994,A season,NMFS_AREA < 520,35,224
1994,A season,NMFS_AREA < 520,36,401
1994,A season,NMFS_AREA < 520,37,710
1994,A season,NMFS_AREA < 520,38,1234
1994,A season,NMFS_AREA < 520,39,2216
1994,A season,NMFS_AREA < 520,40,3644
1994,A season,NMFS_AREA < 520,41,4775
1994,A season,NMFS_AREA < 520,42,5339
1994,A season,NMFS_AREA < 520,43,5572
1994,A season,NMFS_AREA < 520,44,5600
1994,A season,NMFS_AREA < 520,45,5568
1994,A season,NMFS_AREA < 520,46,5475
1994,A season,NMFS_AREA < 520,47,5189
1994,A season,NMFS_AREA < 520,48,4576
1994,A season,NMFS_AREA < 520,49,3685
1994,A season,NMFS_AREA < 520,50,2710
1994,A season,NMFS_AREA < 520,51,1852
1994,A season,NMFS_AREA < 520,52,1241
1994,A season,NMFS_AREA < 520,53,953
1994,A season,NMFS_AREA < 520,54,810
1994,A season,NMFS_AREA < 520,55,749
1994,A season,NMFS_AREA < 520,56,672
1994,A season,NMFS_AREA < 520,57,634
1994,A season,NMFS_AREA < 520,58,587
1994,A season,NMFS_AREA < 520,59,493
1994,A season,NMFS_AREA < 520,60,461
1994,A season,NMFS_AREA < 520,61,365
1994,A season,NMFS_AREA < 520,62,326
1994,A season,NMFS_AREA < 520,63,266
1994,A season,NMFS_AREA < 520,64,201
1994,A season,NMFS_AREA < 520,65,601
1994,A season,NMFS_AREA > 519,20,3
1994,A season,NMFS_AREA > 519,21,1
1994,A season,NMFS_AREA > 519,22,4
1994,A season,NMFS_AREA > 519,23,4
1994,A season,NMFS_AREA > 519,24,7
1994,A season,NMFS_AREA > 519,25,7
1994,A season,NMFS_AREA > 519,26,5
1994,A season,NMFS_AREA > 519,27,4
1994,A season,NMFS_AREA > 519,28,5
1994,A season,NMFS_AREA > 519,29,4
1994,A season,NMFS_AREA > 519,30,6
1994,A season,NMFS_AREA > 519,31,9
1994,A season,NMFS_AREA > 519,32,7
1994,A season,NMFS_AREA > 519,33,18
1994,A season,NMFS_AREA > 519,34,22
1994,A season,NMFS_AREA > 519,35,31
1994,A season,NMFS_AREA > 519,36,36
1994,A season,NMFS_AREA > 519,37,39
1994,A season,NMFS_AREA > 519,38,41
1994,A season,NMFS_AREA > 519,39,44
1994,A season,NMFS_AREA > 519,40,46
1994,A season,NMFS_AREA > 519,41,47
1994,A season,NMFS_AREA > 519,42,56
1994,A season,NMFS_AREA > 519,43,60
1994,A season,NMFS_AREA > 519,44,58
1994,A season,NMFS_AREA > 519,45,59
1994,A season,NMFS_AREA > 519,46,55
1994,A season,NMFS_AREA > 519,47,49
1994,A season,NMFS_AREA > 519,48,52
1994,A season,NMFS_AREA > 519,49,48
